CodigoLoguin;Usuario;Pass;RolEmpleado;
1;Juan;0;ADMIN
2;Aldair;123;RRHH
3;123;123;Logística
4;321;321;Vendedor
5;321;321;Vendedor
6;DE;123;Vendedor
7;paco;paco;Vendedor
8;fasd;fasd;Vendedor
9;perro;loco;Vendedor
10;poco;1dawsd;Logística
11;fawdsfaw;sdawd;Vendedor
12;perez;ochoa;Vendedor
13;perez;ochoa;Vendedor
14;pedj;pejd;Vendedor
15;1234;1234;Vendedor
16;fac;fac;Vendedor
17;123412;12313;Vendedor
18;owqe;qwdqd;Vendedor
19;123;rwdw;Vendedor
20;123EF;AFASD;Vendedor
21;123;fawdas;Vendedor
22;awda;afds;Vendedor
23;u;111222333;Vendedor
24;1;1;Administrador
25;12131;123112;Vendedor
26;313243;214123;RRHH
27;2132q;cawds;Contratador
28;2131;awds;Vendedor
29;12;12;Vendedor
30;Juan;0;ADMIN
31;Juan;1;Vendedor
32;123456;123456;Contratador
33;!"""!;0000;RRHH
34;000000;0000;Logística
35;33333;33333;Logística
36;0;0;Logística
;
